,Model,Window,Step,Recall,F1,Accuracy,Precision,ROC_AUC,SelectedFeatures,FeatureSelectionMethod,FeatureScores,Best_k
136,DecisionTree,30,30,0.6259259259259259,0.5600493279072635,0.5022222222222222,0.5422832443427409,0.5249999999999999,"tHb_max, tHb_mean, tHb_min, O2Hb_max, tHb_median, O2Hb_mean, O2Hb_median, O2Hb_min",select_k_best,"[('tHb_max', np.float64(128.91942393197044)), ('tHb_mean', np.float64(113.72619191832632)), ('tHb_min', np.float64(102.37831317361844)), ('O2Hb_max', np.float64(100.39671579332023)), ('tHb_median', np.float64(93.72294827024125)), ('O2Hb_mean', np.float64(76.68032558961403)), ('O2Hb_median', np.float64(71.48091710831144)), ('O2Hb_min', np.float64(56.45530571740811))]",8
137,XGBoost,30,30,0.6370370370370372,0.6015625967796682,0.5722222222222223,0.6129638558519948,0.5953703703703704,"O2Hb_max, HHb_max, O2Hb_median, O2Hb_mean, tHb_max, tHb_min, tHb_mean, HHb_mean, HHb_median, HHb_std",random_forest,"[('O2Hb_max', np.float64(0.15603512641990766)), ('HHb_max', np.float64(0.10542875809433087)), ('O2Hb_median', np.float64(0.10180830670113465)), ('O2Hb_mean', np.float64(0.08615908263385252)), ('tHb_max', np.float64(0.08292760920051183)), ('tHb_min', np.float64(0.06795118727993503)), ('tHb_mean', np.float64(0.05696001627607832)), ('HHb_mean', np.float64(0.05476558146941731)), ('HHb_median', np.float64(0.0530350006997277)), ('HHb_std', np.float64(0.051930783011286716))]",10
138,LogisticRegression,30,40,0.6835748792270531,0.624712238665727,0.5956521739130435,0.5892361111111111,0.6381537492123502,"O2Hb_max, O2Hb_median, O2Hb_mean, HHb_std, tHb_min, HHb_max, HHb_median, HHb_mean, O2Hb_min, tHb_max, O2Hb_std, HHb_min, tHb_mean, tHb_median, tHb_std",random_forest,"[('O2Hb_max', np.float64(0.1376296358968987)), ('O2Hb_median', np.float64(0.10086281272775692)), ('O2Hb_mean', np.float64(0.09340130090189906)), ('HHb_std', np.float64(0.09061676815777144)), ('tHb_min', np.float64(0.07569021114790125)), ('HHb_max', np.float64(0.0685766213579347)), ('HHb_median', np.float64(0.05951284176860528)), ('HHb_mean', np.float64(0.05843291822686775)), ('O2Hb_min', np.float64(0.05613821838491185)), ('tHb_max', np.float64(0.053792627555267473)), ('O2Hb_std', np.float64(0.04819218345380492)), ('HHb_min', np.float64(0.04606461173877161)), ('tHb_mean', np.float64(0.04461898970601189)), ('tHb_median', np.float64(0.0370096191415273)), ('tHb_std', np.float64(0.029460639834069838))]",15
139,SVC,30,40,0.6763285024154589,0.6347859913295382,0.6043478260869565,0.6302298912361806,0.6466078554925435,"O2Hb_max, tHb_max, tHb_min, tHb_mean, tHb_median, O2Hb_median, O2Hb_mean, HHb_std, O2Hb_min, O2Hb_std, HHb_max, HHb_mean, HHb_median",select_k_best,"[('O2Hb_max', np.float64(86.0765074528636)), ('tHb_max', np.float64(77.93460504214296)), ('tHb_min', np.float64(69.90244373560017)), ('tHb_mean', np.float64(66.41625605032385)), ('tHb_median', np.float64(63.577197452066386)), ('O2Hb_median', np.float64(58.332375319826795)), ('O2Hb_mean', np.float64(58.116173874514125)), ('HHb_std', np.float64(37.05089614754396)), ('O2Hb_min', np.float64(33.59593958274872)), ('O2Hb_std', np.float64(28.59506411911486)), ('HHb_max', np.float64(17.951289014122636)), ('HHb_mean', np.float64(13.051138713372954)), ('HHb_median', np.float64(12.757790969965884))]",13
140,RandomForest,30,40,0.6304347826086957,0.5900664472908904,0.5659420289855072,0.5878244412400865,0.6099558916194078,"O2Hb_max, tHb_max, tHb_min, tHb_mean, tHb_median, O2Hb_median, O2Hb_mean, HHb_std",select_k_best,"[('O2Hb_max', np.float64(86.0765074528636)), ('tHb_max', np.float64(77.93460504214296)), ('tHb_min', np.float64(69.90244373560017)), ('tHb_mean', np.float64(66.41625605032385)), ('tHb_median', np.float64(63.577197452066386)), ('O2Hb_median', np.float64(58.332375319826795)), ('O2Hb_mean', np.float64(58.116173874514125)), ('HHb_std', np.float64(37.05089614754396))]",8
141,KNN,30,40,0.6618357487922705,0.5963432785733179,0.5579710144927535,0.5525252525252525,0.5907897500525099,"O2Hb_max, O2Hb_median, O2Hb_mean, HHb_std, tHb_min, HHb_max, HHb_median, HHb_mean, O2Hb_min",random_forest,"[('O2Hb_max', np.float64(0.1376296358968987)), ('O2Hb_median', np.float64(0.10086281272775692)), ('O2Hb_mean', np.float64(0.09340130090189906)), ('HHb_std', np.float64(0.09061676815777144)), ('tHb_min', np.float64(0.07569021114790125)), ('HHb_max', np.float64(0.0685766213579347)), ('HHb_median', np.float64(0.05951284176860528)), ('HHb_mean', np.float64(0.05843291822686775)), ('O2Hb_min', np.float64(0.05613821838491185))]",9
142,DecisionTree,30,40,0.7487922705314011,0.6496334705038207,0.6007246376811595,0.5832076420311715,0.602657004830918,"O2Hb_max, O2Hb_median, O2Hb_mean, HHb_std, tHb_min, HHb_max",random_forest,"[('O2Hb_max', np.float64(0.1376296358968987)), ('O2Hb_median', np.float64(0.10086281272775692)), ('O2Hb_mean', np.float64(0.09340130090189906)), ('HHb_std', np.float64(0.09061676815777144)), ('tHb_min', np.float64(0.07569021114790125)), ('HHb_max', np.float64(0.0685766213579347))]",6
143,XGBoost,30,40,0.6280193236714976,0.5905308142150248,0.5695652173913043,0.5817556907820599,0.6109010712035287,"O2Hb_max, O2Hb_median, O2Hb_mean, HHb_std, tHb_min, HHb_max, HHb_median",random_forest,"[('O2Hb_max', np.float64(0.1376296358968987)), ('O2Hb_median', np.float64(0.10086281272775692)), ('O2Hb_mean', np.float64(0.09340130090189906)), ('HHb_std', np.float64(0.09061676815777144)), ('tHb_min', np.float64(0.07569021114790125)), ('HHb_max', np.float64(0.0685766213579347)), ('HHb_median', np.float64(0.05951284176860528))]",7
144,LogisticRegression,30,50,0.6574074074074074,0.61185495367152,0.5898148148148148,0.5851759143373662,0.5743312757201646,"O2Hb_max, HHb_max, O2Hb_mean, tHb_max, tHb_min, O2Hb_median, O2Hb_min, tHb_mean, HHb_median, HHb_std, HHb_min, HHb_mean, tHb_median, O2Hb_std, tHb_std",random_forest,"[('O2Hb_max', np.float64(0.1391581634977469)), ('HHb_max', np.float64(0.10791883876270898)), ('O2Hb_mean', np.float64(0.10220662239176947)), ('tHb_max', np.float64(0.08655743125795304)), ('tHb_min', np.float64(0.07401358521820707)), ('O2Hb_median', np.float64(0.07366519293317803)), ('O2Hb_min', np.float64(0.07099427788839914)), ('tHb_mean', np.float64(0.05839633894036227)), ('HHb_median', np.float64(0.05485555285396779)), ('HHb_std', np.float64(0.04816128985160918)), ('HHb_min', np.float64(0.043318095062656096)), ('HHb_mean', np.float64(0.04032898170633034)), ('tHb_median', np.float64(0.0359455837526555)), ('O2Hb_std', np.float64(0.0358198837038482)), ('tHb_std', np.float64(0.028660162178608117))]",15
145,SVC,30,50,0.7407407407407408,0.6469534050179212,0.5925925925925926,0.6188034188034188,0.621656378600823,"O2Hb_max, HHb_max, O2Hb_mean, tHb_max, tHb_min, O2Hb_median",random_forest,"[('O2Hb_max', np.float64(0.1391581634977469)), ('HHb_max', np.float64(0.10791883876270898)), ('O2Hb_mean', np.float64(0.10220662239176947)), ('tHb_max', np.float64(0.08655743125795304)), ('tHb_min', np.float64(0.07401358521820707)), ('O2Hb_median', np.float64(0.07366519293317803))]",6
146,RandomForest,30,50,0.7129629629629629,0.6364293085655315,0.5824074074074074,0.6145921783347484,0.6187842935528121,"O2Hb_max, HHb_max, O2Hb_mean, tHb_max, tHb_min, O2Hb_median, O2Hb_min, tHb_mean, HHb_median, HHb_std, HHb_min, HHb_mean, tHb_median, O2Hb_std, tHb_std",random_forest,"[('O2Hb_max', np.float64(0.1391581634977469)), ('HHb_max', np.float64(0.10791883876270898)), ('O2Hb_mean', np.float64(0.10220662239176947)), ('tHb_max', np.float64(0.08655743125795304)), ('tHb_min', np.float64(0.07401358521820707)), ('O2Hb_median', np.float64(0.07366519293317803)), ('O2Hb_min', np.float64(0.07099427788839914)), ('tHb_mean', np.float64(0.05839633894036227)), ('HHb_median', np.float64(0.05485555285396779)), ('HHb_std', np.float64(0.04816128985160918)), ('HHb_min', np.float64(0.043318095062656096)), ('HHb_mean', np.float64(0.04032898170633034)), ('tHb_median', np.float64(0.0359455837526555)), ('O2Hb_std', np.float64(0.0358198837038482)), ('tHb_std', np.float64(0.028660162178608117))]",15
147,KNN,30,50,0.70679012345679,0.6348665782102314,0.5972222222222222,0.5956920903954802,0.6355024005486968,"O2Hb_max, HHb_max, O2Hb_mean, tHb_max, tHb_min, O2Hb_median",random_forest,"[('O2Hb_max', np.float64(0.1391581634977469)), ('HHb_max', np.float64(0.10791883876270898)), ('O2Hb_mean', np.float64(0.10220662239176947)), ('tHb_max', np.float64(0.08655743125795304)), ('tHb_min', np.float64(0.07401358521820707)), ('O2Hb_median', np.float64(0.07366519293317803))]",6
148,DecisionTree,30,50,0.7129629629629629,0.6805989545715573,0.6638888888888889,0.6976976976976976,0.6882716049382717,"O2Hb_max, HHb_max, O2Hb_mean, tHb_max, tHb_min, O2Hb_median, O2Hb_min, tHb_mean, HHb_median, HHb_std, HHb_min, HHb_mean, tHb_median, O2Hb_std",random_forest,"[('O2Hb_max', np.float64(0.1391581634977469)), ('HHb_max', np.float64(0.10791883876270898)), ('O2Hb_mean', np.float64(0.10220662239176947)), ('tHb_max', np.float64(0.08655743125795304)), ('tHb_min', np.float64(0.07401358521820707)), ('O2Hb_median', np.float64(0.07366519293317803)), ('O2Hb_min', np.float64(0.07099427788839914)), ('tHb_mean', np.float64(0.05839633894036227)), ('HHb_median', np.float64(0.05485555285396779)), ('HHb_std', np.float64(0.04816128985160918)), ('HHb_min', np.float64(0.043318095062656096)), ('HHb_mean', np.float64(0.04032898170633034)), ('tHb_median', np.float64(0.0359455837526555)), ('O2Hb_std', np.float64(0.0358198837038482))]",14
149,XGBoost,30,50,0.7006172839506172,0.6265596837025408,0.5796296296296296,0.6135544146296835,0.6248285322359397,"tHb_max, tHb_mean, tHb_min, O2Hb_max, tHb_median, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_mean, HHb_median, HHb_min, HHb_std, O2Hb_std",select_k_best,"[('tHb_max', np.float64(71.91786314715272)), ('tHb_mean', np.float64(64.786550788885)), ('tHb_min', np.float64(64.64195685310037)), ('O2Hb_max', np.float64(58.90859383269039)), ('tHb_median', np.float64(53.332904870902816)), ('O2Hb_mean', np.float64(44.97782211065995)), ('O2Hb_median', np.float64(41.6513452013553)), ('O2Hb_min', np.float64(34.93979028745704)), ('HHb_max', np.float64(18.153969765006583)), ('HHb_mean', np.float64(12.550007786531348)), ('HHb_median', np.float64(11.100865360873767)), ('HHb_min', np.float64(8.191878230240993)), ('HHb_std', np.float64(7.107258849756294)), ('O2Hb_std', np.float64(0.8061927338505249))]",14
150,LogisticRegression,30,60,0.6148148148148148,0.5917460317460317,0.5822222222222222,0.5846153846153846,0.5634567901234568,"O2Hb_max, O2Hb_mean, O2Hb_median, HHb_max, tHb_max, tHb_min, HHb_std, tHb_mean, O2Hb_min, HHb_min, HHb_median",random_forest,"[('O2Hb_max', np.float64(0.14003522520733963)), ('O2Hb_mean', np.float64(0.10860872497306234)), ('O2Hb_median', np.float64(0.09193554740194163)), ('HHb_max', np.float64(0.08746143509006668)), ('tHb_max', np.float64(0.07392726571975804)), ('tHb_min', np.float64(0.07245761588014972)), ('HHb_std', np.float64(0.07019464169897047)), ('tHb_mean', np.float64(0.06633377642677024)), ('O2Hb_min', np.float64(0.05610616314975293)), ('HHb_min', np.float64(0.055334243781564735)), ('HHb_median', np.float64(0.05301978205780381))]",11
151,SVC,30,60,0.6592592592592593,0.5654064798250844,0.5022222222222222,0.5422619047619048,0.552962962962963,"O2Hb_max, O2Hb_mean, O2Hb_median, HHb_max, tHb_max, tHb_min, HHb_std, tHb_mean, O2Hb_min",random_forest,"[('O2Hb_max', np.float64(0.14003522520733963)), ('O2Hb_mean', np.float64(0.10860872497306234)), ('O2Hb_median', np.float64(0.09193554740194163)), ('HHb_max', np.float64(0.08746143509006668)), ('tHb_max', np.float64(0.07392726571975804)), ('tHb_min', np.float64(0.07245761588014972)), ('HHb_std', np.float64(0.07019464169897047)), ('tHb_mean', np.float64(0.06633377642677024)), ('O2Hb_min', np.float64(0.05610616314975293))]",9
152,RandomForest,30,60,0.6,0.5671625725598739,0.5344444444444445,0.618045112781955,0.600432098765432,"tHb_max, tHb_mean, O2Hb_max, tHb_median, tHb_min, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_median, HHb_mean, HHb_min, HHb_std, O2Hb_std, tHb_std",select_k_best,"[('tHb_max', np.float64(53.91587246370258)), ('tHb_mean', np.float64(52.251638803159665)), ('O2Hb_max', np.float64(51.92266629205574)), ('tHb_median', np.float64(46.90059808034407)), ('tHb_min', np.float64(46.474426061752595)), ('O2Hb_mean', np.float64(38.29095144520298)), ('O2Hb_median', np.float64(35.31687989666438)), ('O2Hb_min', np.float64(26.705687686002282)), ('HHb_max', np.float64(13.622902356113382)), ('HHb_median', np.float64(10.159782397840324)), ('HHb_mean', np.float64(10.123368120583425)), ('HHb_min', np.float64(6.34157441743189)), ('HHb_std', np.float64(5.727558461747554)), ('O2Hb_std', np.float64(1.5552407645023525)), ('tHb_std', np.float64(0.292832409942358))]",15
153,KNN,30,60,0.6407407407407407,0.5941498139656674,0.5655555555555556,0.5652985965817355,0.6096296296296297,"O2Hb_max, O2Hb_mean, O2Hb_median, HHb_max, tHb_max, tHb_min, HHb_std, tHb_mean, O2Hb_min",random_forest,"[('O2Hb_max', np.float64(0.14003522520733963)), ('O2Hb_mean', np.float64(0.10860872497306234)), ('O2Hb_median', np.float64(0.09193554740194163)), ('HHb_max', np.float64(0.08746143509006668)), ('tHb_max', np.float64(0.07392726571975804)), ('tHb_min', np.float64(0.07245761588014972)), ('HHb_std', np.float64(0.07019464169897047)), ('tHb_mean', np.float64(0.06633377642677024)), ('O2Hb_min', np.float64(0.05610616314975293))]",9
154,DecisionTree,30,60,0.6851851851851851,0.5948848492420457,0.5311111111111111,0.5505858257281407,0.5499999999999999,"tHb_max, tHb_mean, O2Hb_max, tHb_median, tHb_min, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_median, HHb_mean, HHb_min, HHb_std",select_k_best,"[('tHb_max', np.float64(53.91587246370258)), ('tHb_mean', np.float64(52.251638803159665)), ('O2Hb_max', np.float64(51.92266629205574)), ('tHb_median', np.float64(46.90059808034407)), ('tHb_min', np.float64(46.474426061752595)), ('O2Hb_mean', np.float64(38.29095144520298)), ('O2Hb_median', np.float64(35.31687989666438)), ('O2Hb_min', np.float64(26.705687686002282)), ('HHb_max', np.float64(13.622902356113382)), ('HHb_median', np.float64(10.159782397840324)), ('HHb_mean', np.float64(10.123368120583425)), ('HHb_min', np.float64(6.34157441743189)), ('HHb_std', np.float64(5.727558461747554))]",13
155,XGBoost,30,60,0.6407407407407407,0.5979020979020979,0.5688888888888889,0.5920875420875421,0.6009876543209877,"O2Hb_max, O2Hb_mean, O2Hb_median, HHb_max, tHb_max, tHb_min, HHb_std",random_forest,"[('O2Hb_max', np.float64(0.14003522520733963)), ('O2Hb_mean', np.float64(0.10860872497306234)), ('O2Hb_median', np.float64(0.09193554740194163)), ('HHb_max', np.float64(0.08746143509006668)), ('tHb_max', np.float64(0.07392726571975804)), ('tHb_min', np.float64(0.07245761588014972)), ('HHb_std', np.float64(0.07019464169897047))]",7
156,LogisticRegression,30,70,0.6282051282051282,0.589249335139746,0.5666666666666668,0.5681246857717446,0.5608152531229454,"O2Hb_max, O2Hb_median, O2Hb_mean, tHb_max, HHb_max, tHb_min, tHb_mean, O2Hb_min, HHb_mean, HHb_std, HHb_median, HHb_min, tHb_std",random_forest,"[('O2Hb_max', np.float64(0.15005949210866404)), ('O2Hb_median', np.float64(0.10680135597263007)), ('O2Hb_mean', np.float64(0.0990797623724512)), ('tHb_max', np.float64(0.09250027048400847)), ('HHb_max', np.float64(0.0870618274779741)), ('tHb_min', np.float64(0.06150785228119237)), ('tHb_mean', np.float64(0.06112632136279092)), ('O2Hb_min', np.float64(0.06015674140823618)), ('HHb_mean', np.float64(0.0557359193563439)), ('HHb_std', np.float64(0.05485196995129462)), ('HHb_median', np.float64(0.04233828957929495)), ('HHb_min', np.float64(0.039656553045812976)), ('tHb_std', np.float64(0.030902819152432225))]",13
157,SVC,30,70,0.6581196581196581,0.5918547857130171,0.55,0.6061642061642062,0.6033859303090072,"O2Hb_max, O2Hb_median, O2Hb_mean, tHb_max, HHb_max",random_forest,"[('O2Hb_max', np.float64(0.15005949210866404)), ('O2Hb_median', np.float64(0.10680135597263007)), ('O2Hb_mean', np.float64(0.0990797623724512)), ('tHb_max', np.float64(0.09250027048400847)), ('HHb_max', np.float64(0.0870618274779741))]",5
158,RandomForest,30,70,0.6709401709401709,0.6070707070707071,0.5538461538461538,0.6045170660856934,0.6033859303090072,"tHb_max, O2Hb_max, tHb_mean, tHb_min, tHb_median, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_mean, HHb_median, HHb_std, HHb_min, O2Hb_std, tHb_std",select_k_best,"[('tHb_max', np.float64(47.854114375438606)), ('O2Hb_max', np.float64(44.71668124458458)), ('tHb_mean', np.float64(43.89725542918754)), ('tHb_min', np.float64(43.48391756313254)), ('tHb_median', np.float64(35.7109454676735)), ('O2Hb_mean', np.float64(34.84266013126105)), ('O2Hb_median', np.float64(31.81237890985238)), ('O2Hb_min', np.float64(26.381989838422026)), ('HHb_max', np.float64(12.039003436365968)), ('HHb_mean', np.float64(7.369341218997278)), ('HHb_median', np.float64(6.480590101842222)), ('HHb_std', np.float64(4.975109648226685)), ('HHb_min', np.float64(4.734848138507621)), ('O2Hb_std', np.float64(0.23952599911533629)), ('tHb_std', np.float64(0.022808221697455326))]",15
159,KNN,30,70,0.6025641025641025,0.5801816239316239,0.5589743589743591,0.5961340001587679,0.5945923734385272,"O2Hb_max, O2Hb_median, O2Hb_mean, tHb_max, HHb_max",random_forest,"[('O2Hb_max', np.float64(0.15005949210866404)), ('O2Hb_median', np.float64(0.10680135597263007)), ('O2Hb_mean', np.float64(0.0990797623724512)), ('tHb_max', np.float64(0.09250027048400847)), ('HHb_max', np.float64(0.0870618274779741))]",5
160,DecisionTree,30,70,0.6923076923076922,0.6186099892996445,0.5743589743589744,0.5796454451345755,0.5897435897435898,"O2Hb_max, O2Hb_median, O2Hb_mean, tHb_max",random_forest,"[('O2Hb_max', np.float64(0.15005949210866404)), ('O2Hb_median', np.float64(0.10680135597263007)), ('O2Hb_mean', np.float64(0.0990797623724512)), ('tHb_max', np.float64(0.09250027048400847))]",4
161,XGBoost,30,70,0.6709401709401709,0.6141723906658342,0.576923076923077,0.5918560606060607,0.5831689677843523,"O2Hb_max, O2Hb_median, O2Hb_mean, tHb_max, HHb_max, tHb_min",random_forest,"[('O2Hb_max', np.float64(0.15005949210866404)), ('O2Hb_median', np.float64(0.10680135597263007)), ('O2Hb_mean', np.float64(0.0990797623724512)), ('tHb_max', np.float64(0.09250027048400847)), ('HHb_max', np.float64(0.0870618274779741)), ('tHb_min', np.float64(0.06150785228119237))]",6
162,LogisticRegression,30,80,0.7824074074074074,0.7154425612052732,0.6986111111111111,0.7051587301587302,0.7959104938271606,"HHb_std, O2Hb_max, tHb_max, tHb_min, tHb_median, O2Hb_median, tHb_mean, O2Hb_mean, HHb_max, O2Hb_min, HHb_median, O2Hb_std, HHb_mean, HHb_min, tHb_std",random_forest,"[('HHb_std', np.float64(0.11690638380078712)), ('O2Hb_max', np.float64(0.10489135089218267)), ('tHb_max', np.float64(0.10251972641877473)), ('tHb_min', np.float64(0.0982271322603603)), ('tHb_median', np.float64(0.0819812898009192)), ('O2Hb_median', np.float64(0.08047698182057354)), ('tHb_mean', np.float64(0.0711766991182226)), ('O2Hb_mean', np.float64(0.06402899139942927)), ('HHb_max', np.float64(0.0548007084676245)), ('O2Hb_min', np.float64(0.045612468629048476)), ('HHb_median', np.float64(0.045239968048048924)), ('O2Hb_std', np.float64(0.03984719269337684)), ('HHb_mean', np.float64(0.03316477421943169)), ('HHb_min', np.float64(0.03297203360612045)), ('tHb_std', np.float64(0.02815429882509976))]",15
163,SVC,30,80,0.875,0.7564749761471073,0.7263888888888889,0.6850447732800674,0.7534722222222223,"HHb_std, O2Hb_max, tHb_max, tHb_min, tHb_median, O2Hb_median, tHb_mean, O2Hb_mean, HHb_max, O2Hb_min, HHb_median",random_forest,"[('HHb_std', np.float64(0.11690638380078712)), ('O2Hb_max', np.float64(0.10489135089218267)), ('tHb_max', np.float64(0.10251972641877473)), ('tHb_min', np.float64(0.0982271322603603)), ('tHb_median', np.float64(0.0819812898009192)), ('O2Hb_median', np.float64(0.08047698182057354)), ('tHb_mean', np.float64(0.0711766991182226)), ('O2Hb_mean', np.float64(0.06402899139942927)), ('HHb_max', np.float64(0.0548007084676245)), ('O2Hb_min', np.float64(0.045612468629048476)), ('HHb_median', np.float64(0.045239968048048924))]",11
164,RandomForest,30,80,0.6666666666666666,0.6428700177341048,0.6513888888888889,0.686232823437905,0.742091049382716,"tHb_max, tHb_mean, tHb_median, O2Hb_max, tHb_min, O2Hb_mean",select_k_best,"[('tHb_max', np.float64(51.75339112683021)), ('tHb_mean', np.float64(49.060131561147585)), ('tHb_median', np.float64(48.338274510512115)), ('O2Hb_max', np.float64(48.108029638465005)), ('tHb_min', np.float64(47.12033080110667)), ('O2Hb_mean', np.float64(34.30882280719614))]",6
165,KNN,30,80,0.7175925925925926,0.6524450699820158,0.6666666666666666,0.6031473102061338,0.7444058641975309,"HHb_std, O2Hb_max, tHb_max, tHb_min, tHb_median, O2Hb_median, tHb_mean, O2Hb_mean, HHb_max, O2Hb_min, HHb_median, O2Hb_std",random_forest,"[('HHb_std', np.float64(0.11690638380078712)), ('O2Hb_max', np.float64(0.10489135089218267)), ('tHb_max', np.float64(0.10251972641877473)), ('tHb_min', np.float64(0.0982271322603603)), ('tHb_median', np.float64(0.0819812898009192)), ('O2Hb_median', np.float64(0.08047698182057354)), ('tHb_mean', np.float64(0.0711766991182226)), ('O2Hb_mean', np.float64(0.06402899139942927)), ('HHb_max', np.float64(0.0548007084676245)), ('O2Hb_min', np.float64(0.045612468629048476)), ('HHb_median', np.float64(0.045239968048048924)), ('O2Hb_std', np.float64(0.03984719269337684))]",12
166,DecisionTree,30,80,0.5787037037037037,0.5717498875393612,0.5805555555555556,0.6021825396825397,0.5949074074074074,"tHb_max, tHb_mean, tHb_median, O2Hb_max",select_k_best,"[('tHb_max', np.float64(51.75339112683021)), ('tHb_mean', np.float64(49.060131561147585)), ('tHb_median', np.float64(48.338274510512115)), ('O2Hb_max', np.float64(48.108029638465005))]",4
167,XGBoost,30,80,0.6435185185185185,0.6101670297748729,0.6333333333333333,0.6777777777777777,0.7167245370370371,"tHb_max, tHb_mean, tHb_median, O2Hb_max",select_k_best,"[('tHb_max', np.float64(51.75339112683021)), ('tHb_mean', np.float64(49.060131561147585)), ('tHb_median', np.float64(48.338274510512115)), ('O2Hb_max', np.float64(48.108029638465005))]",4
168,LogisticRegression,30,90,0.6722222222222222,0.6305499438832772,0.61,0.6138888888888889,0.5777777777777778,"O2Hb_max, HHb_max, tHb_max, O2Hb_mean, O2Hb_median, tHb_min",random_forest,"[('O2Hb_max', np.float64(0.16937112776354735)), ('HHb_max', np.float64(0.11663727677267482)), ('tHb_max', np.float64(0.09846165611742368)), ('O2Hb_mean', np.float64(0.08594014250917015)), ('O2Hb_median', np.float64(0.08534252392041394)), ('tHb_min', np.float64(0.06663856535809327))]",6
169,SVC,30,90,0.638888888888889,0.5402333725237355,0.46166666666666667,0.470031859816806,0.4108333333333334,"O2Hb_max, HHb_max, tHb_max",random_forest,"[('O2Hb_max', np.float64(0.16937112776354735)), ('HHb_max', np.float64(0.11663727677267482)), ('tHb_max', np.float64(0.09846165611742368))]",3
170,RandomForest,30,90,0.7555555555555555,0.6707139747899937,0.6416666666666666,0.6132512787723785,0.6418055555555555,"O2Hb_max, HHb_max, tHb_max, O2Hb_mean, O2Hb_median, tHb_min, tHb_mean, HHb_std, O2Hb_min, HHb_median, O2Hb_std, HHb_mean",random_forest,"[('O2Hb_max', np.float64(0.16937112776354735)), ('HHb_max', np.float64(0.11663727677267482)), ('tHb_max', np.float64(0.09846165611742368)), ('O2Hb_mean', np.float64(0.08594014250917015)), ('O2Hb_median', np.float64(0.08534252392041394)), ('tHb_min', np.float64(0.06663856535809327)), ('tHb_mean', np.float64(0.06341231544255566)), ('HHb_std', np.float64(0.0573030641487635)), ('O2Hb_min', np.float64(0.045559556466620986)), ('HHb_median', np.float64(0.043646471498851876)), ('O2Hb_std', np.float64(0.0420222698138706)), ('HHb_mean', np.float64(0.04054933388483654))]",12
171,KNN,30,90,0.638888888888889,0.5932539682539683,0.5666666666666668,0.5686813186813187,0.5597222222222222,"O2Hb_max, HHb_max, tHb_max, O2Hb_mean, O2Hb_median, tHb_min, tHb_mean, HHb_std, O2Hb_min, HHb_median, O2Hb_std, HHb_mean",random_forest,"[('O2Hb_max', np.float64(0.16937112776354735)), ('HHb_max', np.float64(0.11663727677267482)), ('tHb_max', np.float64(0.09846165611742368)), ('O2Hb_mean', np.float64(0.08594014250917015)), ('O2Hb_median', np.float64(0.08534252392041394)), ('tHb_min', np.float64(0.06663856535809327)), ('tHb_mean', np.float64(0.06341231544255566)), ('HHb_std', np.float64(0.0573030641487635)), ('O2Hb_min', np.float64(0.045559556466620986)), ('HHb_median', np.float64(0.043646471498851876)), ('O2Hb_std', np.float64(0.0420222698138706)), ('HHb_mean', np.float64(0.04054933388483654))]",12
172,DecisionTree,30,90,0.8000000000000002,0.6855041464970543,0.6416666666666666,0.6075130388855879,0.6472222222222223,"tHb_max, O2Hb_max, tHb_mean, tHb_min, tHb_median, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_std",select_k_best,"[('tHb_max', np.float64(37.21540879032413)), ('O2Hb_max', np.float64(33.327931185682054)), ('tHb_mean', np.float64(31.56226200573834)), ('tHb_min', np.float64(29.269056587074786)), ('tHb_median', np.float64(26.336464955268408)), ('O2Hb_mean', np.float64(24.64558094919808)), ('O2Hb_median', np.float64(23.091506209525125)), ('O2Hb_min', np.float64(17.43678251914775)), ('HHb_max', np.float64(9.4613018089724)), ('HHb_std', np.float64(6.148257140333622))]",10
173,XGBoost,30,90,0.7000000000000001,0.6337698412698413,0.62,0.5830065359477125,0.6136111111111111,"O2Hb_max, HHb_max, tHb_max, O2Hb_mean, O2Hb_median, tHb_min, tHb_mean, HHb_std, O2Hb_min, HHb_median, O2Hb_std",random_forest,"[('O2Hb_max', np.float64(0.16937112776354735)), ('HHb_max', np.float64(0.11663727677267482)), ('tHb_max', np.float64(0.09846165611742368)), ('O2Hb_mean', np.float64(0.08594014250917015)), ('O2Hb_median', np.float64(0.08534252392041394)), ('tHb_min', np.float64(0.06663856535809327)), ('tHb_mean', np.float64(0.06341231544255566)), ('HHb_std', np.float64(0.0573030641487635)), ('O2Hb_min', np.float64(0.045559556466620986)), ('HHb_median', np.float64(0.043646471498851876)), ('O2Hb_std', np.float64(0.0420222698138706))]",11
