,Model,Window,Step,Recall,F1,Accuracy,Precision,ROC_AUC,SelectedFeatures,FeatureSelectionMethod,FeatureScores,Best_k
297,KNN,50,100,0.6049382716049382,0.50359477124183,0.47592592592592586,0.48925148925148926,0.5061728395061729,"tHb_max, tHb_mean, O2Hb_max, tHb_min, tHb_median",select_k_best,"[('tHb_max', np.float64(47.89443830043013)), ('tHb_mean', np.float64(44.43356619371277)), ('O2Hb_max', np.float64(36.11420140592105)), ('tHb_min', np.float64(33.93187204199686)), ('tHb_median', np.float64(30.648751381606345))]",5
298,DecisionTree,50,100,0.48148148148148157,0.4741509433962265,0.5814814814814815,0.4835164835164835,0.5555555555555555,"tHb_max, tHb_mean, O2Hb_max, tHb_min, tHb_median, O2Hb_mean",select_k_best,"[('tHb_max', np.float64(47.89443830043013)), ('tHb_mean', np.float64(44.43356619371277)), ('O2Hb_max', np.float64(36.11420140592105)), ('tHb_min', np.float64(33.93187204199686)), ('tHb_median', np.float64(30.648751381606345)), ('O2Hb_mean', np.float64(25.621692360122257))]",6
299,XGBoost,50,100,0.5308641975308642,0.5034889962426194,0.5814814814814815,0.5185185185185185,0.5459533607681756,"tHb_max, tHb_mean, O2Hb_max, tHb_min, tHb_median",select_k_best,"[('tHb_max', np.float64(47.89443830043013)), ('tHb_mean', np.float64(44.43356619371277)), ('O2Hb_max', np.float64(36.11420140592105)), ('tHb_min', np.float64(33.93187204199686)), ('tHb_median', np.float64(30.648751381606345))]",5
300,LogisticRegression,60,10,0.6507024265644955,0.5858175118497482,0.536015325670498,0.5556223982938587,0.5564546909176319,"O2Hb_max, HHb_max, tHb_max, tHb_mean, O2Hb_mean, O2Hb_median, tHb_min, HHb_median, HHb_min, HHb_std, HHb_mean",random_forest,"[('O2Hb_max', np.float64(0.2019876375215987)), ('HHb_max', np.float64(0.13503101898552505)), ('tHb_max', np.float64(0.109723341659962)), ('tHb_mean', np.float64(0.09927219185668518)), ('O2Hb_mean', np.float64(0.08400384952253541)), ('O2Hb_median', np.float64(0.07193805239539201)), ('tHb_min', np.float64(0.06981556897593721)), ('HHb_median', np.float64(0.043277718079020054)), ('HHb_min', np.float64(0.03968798635116234)), ('HHb_std', np.float64(0.036567512873977324)), ('HHb_mean', np.float64(0.031312723890659984))]",11
301,SVC,60,10,0.6551724137931035,0.5581853420382749,0.4674329501915709,0.5607128358291917,0.4650731786086522,"O2Hb_max, HHb_max, tHb_max, tHb_mean, O2Hb_mean, O2Hb_median, tHb_min, HHb_median, HHb_min, HHb_std, HHb_mean, O2Hb_min, O2Hb_std",random_forest,"[('O2Hb_max', np.float64(0.2019876375215987)), ('HHb_max', np.float64(0.13503101898552505)), ('tHb_max', np.float64(0.109723341659962)), ('tHb_mean', np.float64(0.09927219185668518)), ('O2Hb_mean', np.float64(0.08400384952253541)), ('O2Hb_median', np.float64(0.07193805239539201)), ('tHb_min', np.float64(0.06981556897593721)), ('HHb_median', np.float64(0.043277718079020054)), ('HHb_min', np.float64(0.03968798635116234)), ('HHb_std', np.float64(0.036567512873977324)), ('HHb_mean', np.float64(0.031312723890659984)), ('O2Hb_min', np.float64(0.027741791022906873)), ('O2Hb_std', np.float64(0.018640001202907236))]",13
302,RandomForest,60,10,0.6392081736909323,0.5185465756416469,0.4793103448275862,0.487560411488539,0.4339722699314455,"tHb_max, tHb_mean, O2Hb_max, tHb_min, tHb_median, O2Hb_mean, O2Hb_median",select_k_best,"[('tHb_max', np.float64(530.5248997352983)), ('tHb_mean', np.float64(523.5193954252151)), ('O2Hb_max', np.float64(406.1007032438298)), ('tHb_min', np.float64(363.2820728343429)), ('tHb_median', np.float64(328.77361998342604)), ('O2Hb_mean', np.float64(263.59279972996495)), ('O2Hb_median', np.float64(224.24284007190906))]",7
303,KNN,60,10,0.5498084291187739,0.45677013967998814,0.44329501915708813,0.45246183800623047,0.456498363206647,"tHb_max, tHb_mean, O2Hb_max, tHb_min, tHb_median, O2Hb_mean, O2Hb_median",select_k_best,"[('tHb_max', np.float64(530.5248997352983)), ('tHb_mean', np.float64(523.5193954252151)), ('O2Hb_max', np.float64(406.1007032438298)), ('tHb_min', np.float64(363.2820728343429)), ('tHb_median', np.float64(328.77361998342604)), ('O2Hb_mean', np.float64(263.59279972996495)), ('O2Hb_median', np.float64(224.24284007190906))]",7
304,DecisionTree,60,10,0.6079182630906769,0.4979017932334075,0.41954022988505746,0.4415257464859424,0.43454661558109836,"tHb_max, tHb_mean, O2Hb_max",select_k_best,"[('tHb_max', np.float64(530.5248997352983)), ('tHb_mean', np.float64(523.5193954252151)), ('O2Hb_max', np.float64(406.1007032438298))]",3
305,XGBoost,60,10,0.5925925925925926,0.4611347189186139,0.39386973180076623,0.40430266217769817,0.37629732387956727,"tHb_max, tHb_mean, O2Hb_max, tHb_min, tHb_median",select_k_best,"[('tHb_max', np.float64(530.5248997352983)), ('tHb_mean', np.float64(523.5193954252151)), ('O2Hb_max', np.float64(406.1007032438298)), ('tHb_min', np.float64(363.2820728343429)), ('tHb_median', np.float64(328.77361998342604))]",5
306,LogisticRegression,60,20,0.654040404040404,0.5870699781581153,0.5318181818181819,0.559419335966067,0.5409636134067952,"O2Hb_max, HHb_max, tHb_mean, tHb_max, O2Hb_mean, O2Hb_median",random_forest,"[('O2Hb_max', np.float64(0.19345254810180942)), ('HHb_max', np.float64(0.11596516998419777)), ('tHb_mean', np.float64(0.10927298122904609)), ('tHb_max', np.float64(0.10646835602071653)), ('O2Hb_mean', np.float64(0.08742336709322289)), ('O2Hb_median', np.float64(0.077359542345239))]",6
